date,type,registration,operator,fat.,location,url,phase,aircraft_damage,classification,narrative,nature,inv_agency,year
01-JAN-2011,Tupolev Tu-154B-2,RA-85588,Kolavia,3,Surgut Airpo...,https://aviation-safety.net/database/record.php?id=20110101-0,Standing (STD),Destroyed,Damaged on the ground,"A Tupolev 154B-2 passenger jet, registered RA-85588, was damaged beyond repair in an accident at Surgut Airport (SGC), Russia. There were 126 passengers and eight crew members on board. The airplane operated on a flight KGL348 from Surgut Airport (SGC) to Moskva-Domodedovo Airport (DME).Three passengers died and about 32 were seriously injured. The airplane was destroyed by fire.Initial reports indicate that the airplane had been towed to the main taxiway for engine startup. A short circuit occurred while the AC generators were connected to the aircraft's electrical system after start-up of the engines. A fire erupted in the rear, spreading quickly through the main cabin. The crew shut down the engines and initiated an evacuation. The Interstate Aviation Committee reported that engines no. 1, 2 and 3 and the APU were not the source of the fire. The fire started in the rear of the aircraft in the area of frames 62-65.The cause of the fire was an electrical arc produced by electrical currents exceeding ten to twenty times the nominal loads when two generators not synchronised with each other were brought online but got connected together instead of being connected to parallel busses.The unsynchronised operation of the generators can be attributed to- Poor technical conditions of contacts TKS233DOD responsible for connecting the generators with the electrical busses, that were damaged by prolonged operation without maintenance. A contact normally open was welded and fractured insulation material moved between contacts that are normally closed. These abnormal contact positions led to the connection between #2 and #3 generators.- Differences in the schematic diagrams of generator 2 and generators 1 and 3. When the switch is moved from ""check"" to ""enable"" with no delay in the ""neutral"" position generator 2 is brought online without time delay which leads to increased wear of normally closed contacts in the TKS233DOD unit.- The specific design of the electrical systems to ensure power supply to each bus from either the APU or either engine integrated drive generator.01-01-201101-01-201101-01-201130 NOV 1983CCCP-85588Aeroflot / MagadanJUN 1993RA-85588AeroflotOCT 1994RA-85588Magadan AviaAUG 1999RA-85588Vladivostok AirAPR 2007RA-85588Kogalymavia",Domestic Scheduled Passenger,MAK ,2011
03-JAN-2011,Beech B200 King Air,C-GSAU,Saskatchewan Gvt.,0,Maple Creek ...,https://aviation-safety.net/database/record.php?id=20110103-0,Landing (LDG),Substantial,Runway excursion,"A Beechcraft B200 King Air, C-GSAU, sustained substantial damage in an accident at Maple Creek Airport, SK, Canada.Saskatchewan Government flight SLG 3M, landed on runway 24 at Maple Creek Airport, SK. The runway was snow covered. During the landing roll the left main gear contacted deeper snow and the aircraft veered to the left. The left main gear caught a 14 inch windrow along the south edge of the runway and the pilot lost directional control. The aircraft departed the runway surface to the left and the nose gear collapsed. The aircraft sustained substantial damage to the nose and propellers, and the pilot and 2 passengers were not injured.",Ambulance,TSB Canada ,2011
03-JAN-2011,Boeing 737-823 (WL),N831NN,American Airlines,0,Los Angeles ...,https://aviation-safety.net/database/record.php?id=20110103-1,Takeoff (TOF),Substantial,Tailstrike Runway mishap,"American Airlines flight 1586, a Boeing 737-800, experienced a tailstrike upon takeoff from runway 7L at Los Angeles International Airport, California, USA. No injuries occurred during the event. The flight landed uneventfully at Toronto-Lester Pearson International Airport, Canada, where damage to the tail skid was discovered. Further damage to the aft pressure bulkhead was later discovered, and this damage was determined to be substantial.According to the captain, normal procedures were followed during preflight and taxi, including verification of the takeoff bug speeds. During the takeoff roll, the automatic, aircraft-generated V1 callout occurred and he began to rotate the airplane. The first officer did not call for rotation at that time. The captain applied nose up pitch command until he realized the indicated airspeed was too low. He said he then eased the nose of the airplane back down to the runway and re-rotated at the normal rotation speed, achieving approximately 10 degrees nose up at about 155 to 160 knots. The FO said he noticed that the automatic voice callout occurred about 20 knots early and observed the captain rotate for takeoff, but he said nothing to the captain for fear of causing confusion. The rest of the climbout, cruise, descent, and landing at Toronto was uneventful.According to the first officer, during preflight preparations, due to a last minute runway change, the takeoff data V speeds did not automatically upload into the flight management computer (FMC), so he manually entered the speeds using information on the preflight paperwork. Flight planning data indicated that the airplane takeoff weight was 161,037 pounds with a center of gravity at 22.5% mean aerodynamic chord, which under the conditions at the time of the accident should have resulted in a flaps 1 takeoff with V1 (takeoff decision speed) of 153 knots, a Vr (rotation speed) also of 153 knots, and V2 (scheduled takeoff speed) of 158 knots. The recorded data indicates the manually entered V speeds in the FMC were V1 123 knots, Vr 153 knots and V2 158 knots.Probable causeThe early rotation of the airplane to an angle at which the fuselage contacted the runway. Contributing to early rotation was the Captains reaction to the erroneous V1 automated callout, likely assuming that the airplane was at or close to the correct Vr at the same time. The erroneous automated callout was likely due to a keystroke entry error by the FO when manually entering takeoff data for a newly assigned departure runway.",International Scheduled Passenger,NTSB ,2011
05-JAN-2011,Boeing 737-8F2 (WL),TC-JGZ,THY,0,Istanbul Ata...,https://aviation-safety.net/database/record.php?id=20110105-0,En route (ENR),None,Hijack,A 40 year old man attempted hijack Flight 1754 on a flight from Oslo (GEN) to Istanbul's Atatürk Airport (IST). The hijacker tried to enter the cockpit and demanded that the plane return to Norway. The man claimed that he had a bomb and that he would blow up the aircraft if the aircraft was not going back to Norway. A number of passengers overpowered the man and the 737 landed at Istanbul's Atatürk Airport were the hijacker was arrested.The hijacker had gone on a hunger strike for 43 days in the summer of 2009 in an attempt to get a Norwegian residence permit.05-01-2011,International Scheduled Passenger,,2011
06-JAN-2011,Learjet 35A,N800GP,Priester Aviation,0,Springfield-...,https://aviation-safety.net/database/record.php?id=20110106-0,Landing (LDG),Damaged beyond repair,Icing Loss of control,"A Learjet 35A corporate jet, registered N800GP, sustained substantial damage in a landing accident at Springfield-Abraham Lincoln Capital Airport, IL (SPI), USA. All four passengers and two crew members survived. The airplane operated on Priester Aviation flight 800 from Chicago-Midway Airport, IL (MDW) to Springfield-Abraham Lincoln Capital Airport, IL (SPI).The en route and descent part of the flight were uneventful. The airplane accumulated a trace of rime ice during the descent and approach. The airframe anti-icing system was turned off upon intercepting the ILS glide slope, which was shortly before descending below the cloud layer. The copilot was the pilot flying at the time of the accident. He used the autopilot for the initial portion of the approach and then hand flew the airplane after breaking out of the clouds. The pilot stated that the master warning and stick shaker activated when the airplane was on short final. The airplane impacted left of the runway centerline before it ultimately departed the right side of the runway pavement. The airplane crossed a slight rise before coming to rest in the grass. A small fire was quickly put out by military staff, both pilots received minor back injuries, and there were no injuries among the four passengers.PROBABLE CAUSE ""The pilots decision to conduct an instrument approach in icing conditions without the anti-ice system activated, contrary to the airplane flight manual guidance, which resulted in an inadvertent aerodynamic stall due to an in-flight accumulation of airframe icing.""06-01-2011",Executive,NTSB ,2011
06-JAN-2011,Cessna 208B Grand Caravan,N715HE,Hageland Aviation Services,0,Kipnuk Airpo...,https://aviation-safety.net/database/record.php?id=20110106-1,Landing (LDG),Substantial,Runway excursion,"A Cessna 208B Grand Caravan passenger plane, registered N715HE, sustained substantial damage in a landing accident at Kipnuk Airport, AK (KPN), USA. All four passengers and two crew members were not injured. The airplane operated on Hageland flight 161 from Bethel Airport, AK (BET) to Kipnuk Airport, AK (KPN).Following a normal approach to runway 33, the captain landed long to avoid a bump in the runway. As the airplane touched down on the runway, he applied brakes and moved the propeller into beta. During the landing roll, he realized the airplane was still traveling fast, and he did not have enough area to abort the landing, so he applied maximum brakes. The airplane continued off the departure end (north side) of runway 33, and impacted a ditch, which resulted in the airplane coming to rest right wing and nose low. The captain said that at the time of the accident, the runway contained packed snow and ice.Examination of the airplane by the captain revealed that the right wing was bent upwards about 3 to 4 feet inboard from the wingtip.PROBABLE CAUSE ""The pilots decision to land long on the icy snow-covered runway, resulting in a runway excursion and collision with terrain.""06-01-201106-01-201106-01-2011",Domestic Scheduled Passenger,NTSB ,2011
07-JAN-2011,Beech B200 Super King Air,F-GMPO,GCE Bail SA,0,"Montpellier,...",https://aviation-safety.net/database/record.php?id=20110107-0,Landing (LDG),Substantial,Electrical system problem Runway mishap,"The crew took off from runway 13 at Montpellier-Frejorgues Airport (MPL) for an IFR flight bound for Albert/Bray, France.with two passengers. During initial climb, the co-pilot, PF, found that the left horizon was unusable. The Captain, in the right seat, took over the controls and used the information from the right horizon to continue the flight. The co-pilot noticed that the amber generator lights were on. He tried unsuccessfully to stop and start them. The captain decided to abort the flight.He asked the co-pilot to extend the landing gear. During the extension sequence, the aircraft suffered a total electrical failure. The lighting conditions in the cockpit were then very dark and the crew had difficulty in reading the instrument displays. The captain asked the co-pilot to shine a flashlight on the instruments. He briefly saw the threshold of runway 31R. The co-pilot suggested that he go around as he was unsure that the gear was locked down. During the aerodrome circuit at low height the co-pilot continued extending the landing gear manually. The emergency landing being imminent, the co-pilot stopped doing this, even though he was unsure that the gear was locked down because he didnt feel enough resistance to indicate that the gear was extended and locked down. Given the weather and the difficulty of reading the instruments, the captain decided to land. During the landing roll the main landing gear collapsed slowly, the fuselage came into contact with the ground and the aircraft stopped on the runway.",Domestic Non Scheduled Passenger,,2011
09-JAN-2011,Boeing 727-286,EP-IRP,Iran Air,78,near Urmia (Orumi...,https://aviation-safety.net/database/record.php?id=20110109-0,Approach (APR),Destroyed,Loss of control,"An Iran Air Boeing 727 passenger jet was damaged beyond repair in an accident about 8 km from Urmia (Orumiyeh) Airport (OMH), Iran. There were 96 passengers and nine crew members on board. The airplane operated on flight IR277 from Tehran-Mehrabad Airport (THR) to Urmia (Orumiyeh) Airport (OMH). It left Tehran at 1815, after a delay of over two hours due to severe weather at the destination.The effect of a combination of bad weather and cockpit crews' failure to deal with the situation is the major cause of the accident.Contributing factors- The old technology of aircraft systems- Absence of a suitable simulator for adverse weather conditions- Failure to correctly execute the operating instructions for go around- Inadequate cockpit management (CRM)09-01-201109-01-201109-01-201109-01-2011",Domestic Scheduled Passenger,,2011
10-JAN-2011,Airbus A320-216,9M-AHH,AirAsia,0,Kuching Airp...,https://aviation-safety.net/database/record.php?id=20110110-0,Landing (LDG),Substantial,Runway excursion,"An AirAsia Airbus A320-216 passenger jet, registered 9M-AHH, sustained substantial damage in a runway excursion accident at Kuching Airport (KCH), Malaysia. All 123 passengers and six crew members survived. The airplane operated on flight 5218 from Kuala Lumpur Subang International Airport (KUL) to Kuching Airport (KCH).The flight landed on Kuching's runway 25 in heavy rain around but skidded to the right and went off the side of the runway. It came to rest in the grass with the nose gear dug in or collapsed.According to AirAsia the aircraft landed at 2002. Media reports indicate the accident happened around 2200, which seems more likely given the scheduled departure time of AK5218 of 1940.",Domestic Scheduled Passenger,,2011
10-JAN-2011,Boeing 737-2T5,ZS-SGX,Safair,0,Hoedspruit A...,https://aviation-safety.net/database/record.php?id=20110110-1,Taxi (TXI),Substantial,,"A Boeing 737-2T5 passenger jet, registered ZS-SGX, sustained substantial damage in an accident at Hoedspruit AFB (HDS), South Africa. There were no fatalities. The airplane operated on a flight from Hoedspruit Airport (HDS) to Johannesburg-O.R. Tambo International Airport (JNB).Whilst taxiing to the cleared holding point for takeoff from runway 18, the pilot switched off the landing lights to avoid blinding an approaching aircraft. As a result, he overshot the turning point at taxiway C in the darkness and found himself at the end of taxiway A with insufficient space to turn around. According to him, he decided to maneuvre the aircraft out of the ""dead end"" by turning into the last taxiway, which led to military hangars, and then reversing the aircraft to carry out a 180° turn. This was to be done without external guidance. Whilst reversing the aircraft, the pilot failed to stop it in time, the main wheels rolled off the edge of the taxiway and the aircraft slipped down a steep embankment, coming to rest with the nose-wheel still on the taxiway.PROBABLE CAUSE ""Inappropriate decision by the captain to reverse the aircraft at night without external  guidance.""10-01-201110-01-201110-01-201110-01-2011",Domestic Non Scheduled Passenger,CAA SouthAfrica ,2011
