,date,type,registration,operator,fat.,location,Unnamed: 6,pic,cat,url
0,01-JAN-2011,Tupolev Tu-154B-2,RA-85588,Kolavia,3,Surgut Airpo...,,,A1,https://aviation-safety.net/database/record.php?id=20110101-0
1,03-JAN-2011,Beech B200 King Air,C-GSAU,Saskatchewan Gvt.,0,Maple Creek ...,,,A2,https://aviation-safety.net/database/record.php?id=20110103-0
2,03-JAN-2011,Boeing 737-823 (WL),N831NN,American Airlines,0,Los Angeles ...,,,A2,https://aviation-safety.net/database/record.php?id=20110103-1
3,05-JAN-2011,Boeing 737-8F2 (WL),TC-JGZ,THY,0,Istanbul Ata...,,,H2,https://aviation-safety.net/database/record.php?id=20110105-0
4,06-JAN-2011,Learjet 35A,N800GP,Priester Aviation,0,Springfield-...,,,A1,https://aviation-safety.net/database/record.php?id=20110106-0
5,06-JAN-2011,Cessna 208B Grand Caravan,N715HE,Hageland Aviation Services,0,Kipnuk Airpo...,,,A2,https://aviation-safety.net/database/record.php?id=20110106-1
6,07-JAN-2011,Beech B200 Super King Air,F-GMPO,GCE Bail SA,0,"Montpellier,...",,,A1,https://aviation-safety.net/database/record.php?id=20110107-0
7,09-JAN-2011,Boeing 727-286,EP-IRP,Iran Air,78,near Urmia (Orumi...,,,A1,https://aviation-safety.net/database/record.php?id=20110109-0
8,10-JAN-2011,Airbus A320-216,9M-AHH,AirAsia,0,Kuching Airp...,,,A2,https://aviation-safety.net/database/record.php?id=20110110-0
9,10-JAN-2011,Boeing 737-2T5,ZS-SGX,Safair,0,Hoedspruit A...,,,A1,https://aviation-safety.net/database/record.php?id=20110110-1
10,14-JAN-2011,Beech B200 Super King Air,PR-ART,CMN Construtora Meio Norte,6,near Senador Cane...,,,A1,https://aviation-safety.net/database/record.php?id=20110114-0
11,17-JAN-2011,DHC-3T Vazar Turbine Otter,C-GNNP,Liard Air,0,Muncho Lake/...,,,O1,https://aviation-safety.net/database/record.php?id=20110117-0
12,17-JAN-2011,Convair CV-340-71,N8277Q,Tiger Contract Cargo,0,Saint Thomas...,,,A1,https://aviation-safety.net/database/record.php?id=20110117-1
