date,type,registration,operator,fat.,location,Unnamed: 6,pic,cat,url
04-JAN-2018,Gulfstream G150,OE-GKA,Private Airlines Germany,0+ 1,Kittilä Airp...,,,A2,https://aviation-safety.net/database/record.php?id=20180104-0
05-JAN-2018,Boeing 737-8CT (WL),C-FDMB,WestJet,0,Toronto-Pear...,,,A2,https://aviation-safety.net/database/record.php?id=20180105-0
05-JAN-2018,Boeing 737-8FH (WL),C-FPRP,Sunwing Airlines,0,Toronto-Pear...,,,A2,https://aviation-safety.net/database/record.php?id=20180105-1
06-JAN-2018,Antonov An-2TP,YV1944,Unknown,0,La Paragua A...,,,A1,https://aviation-safety.net/database/record.php?id=20180106-0
07-JAN-2018,Cessna 208B Grand Caravan,5Y-FDC,Unknown,0+ 1,Akobo,,,A1,https://aviation-safety.net/database/record.php?id=20180107-0
09-JAN-2018,Embraer EMB-110P1 Bandeirante,C6-MIC,Pineapple Air,0,Governor's H...,,,A2,https://aviation-safety.net/database/record.php?id=20180109-0
10-JAN-2018,Swearingen SA227-AT Merlin IVC,N561UP,Ameriflight,0,Rock Springs...,,,A2,https://aviation-safety.net/database/record.php?id=20180110-0
13-JAN-2018,Boeing 737-82R (WL),TC-CPF,Pegasus Airlines,0,Trabzon Airp...,,,A1,https://aviation-safety.net/database/record.php?id=20180113-0
15-JAN-2018,Airbus A319-111,5A-ONC,Afriqiyah Airways,0,Tripoli-Miti...,,,C1,https://aviation-safety.net/database/record.php?id=20180115-0
16-JAN-2018,BAe BAe-748-347 Srs. 2A,S2-AAX,Bismillah Airlines,0,Jessore Airp...,,,A2,https://aviation-safety.net/database/record.php?id=20180116-0
16-JAN-2018,Antonov An-2,,Kazakhstan Air Defence Force,0,near Zhetygen Air...,,,A1,https://aviation-safety.net/database/record.php?id=20180116-1
17-JAN-2018,IPTN/CASA CN-235M-100,98-148,Turkish AF,3,Hodulluca Me...,,,A1,https://aviation-safety.net/database/record.php?id=20180117-0
18-JAN-2018,Convair CV-580F,XA-TRB,Air Tribe,0,Brownsville-...,,,A1,https://aviation-safety.net/database/record.php?id=20180118-0
20-JAN-2018,Embraer EMB-120ER Brasilia,5Y-CEI,"European Union, lsf AirTraffic Africa",0,Mogadishu Ad...,,,A2,https://aviation-safety.net/database/record.php?id=20180120-0
20-JAN-2018,Let L-410UVP,UR-VTV,Galeyr Airline,0,Mogadishu Ad...,,,A1,https://aviation-safety.net/database/record.php?id=20180120-1
25-JAN-2018,Gulfstream G200,5N-BTF,Nestoil,0,Abuja Intern...,,,A1,https://aviation-safety.net/database/record.php?id=20180125-0
25-JAN-2018,Airbus A320,,Unknown,0,Berlin-Schön...,,,A2,https://aviation-safety.net/database/record.php?id=20180125-1
29-JAN-2018,Shaanxi Y-8GX-3,30513,China Air Force,12,"Zhengchang, ...",,,A1,https://aviation-safety.net/database/record.php?id=20180129-0
11-FEB-2018,Antonov An-148-100B,RA-61704,Saratov Airlines,71,near Stepanovskoy...,,,A1,https://aviation-safety.net/database/record.php?id=20180211-0
16-FEB-2018,Fokker 100,EP-FQF,Qeshm Air,0,Mashhad Airp...,,,A2,https://aviation-safety.net/database/record.php?id=20180216-0
